Name,s_city,e_city,free,s_lon,s_lat,e_lon,e_lat,year,s_city_id,e_city_id
Boling Bowser,"Mt. Pleasant, Henry Co., IA","Cape Palmas, Liberia",yes,-91.546549,40.9630851,-7.716944,4.37611,1860,24,26
Benjamin Mathews,"Frederick, Maryland","Frederick, Maryland",no,-77.412758,39.433086,-77.4128,39.43309,1812,25,25
Benjamin Mathews,"Frederick, Maryland",southern Illinois,yes,-77.4128,39.43309,-89.2226,37.71,1838,26,24
Benjamin Mathews,southern Illinois,"Muscatine, Iowa",yes,-89.2226,37.71,-91.0698,41.42013,1839,27,23
Hannah Virginia Mathews,"Burlington, VT","Muscatine, IA",yes,-73.170969,44.46699,-91.0698,41.42013,1847,28,22
George Manly,Virginia,"Muscatine, Iowa",no,-78.6569,37.4316,-91.0698,41.42012,1848,29,21
Noah Tutt,"Millersburg, Bourbon County, Kentucky","Akron, Ohio",no,-84.1474,38.302,-81.519,41.0814,1832,30,20
Noah Tutt,"Akron, Ohio","Muscatine, Iowa",yes,-81.519,41.0814,-91.0698,41.42012,1853,31,19
Minerva A. Barkshire Tutt,"Boone County, Kentucky","Rising Sun, Indiana",no,-84.7316,38.9941,-84.8538,38.9495,1836,32,18
Minerva A. Barkshire Tutt,"Rising Sun, Indiana","Muscatine, Iowa",yes,-84.8538,38.9495,-91.0698,41.42012,1856,33,17
Thomas Cook Motts,"Sharpsburg, Maryland",Ohio River deckhand,yes,-77.7489,39.4576,-84.746884,39.145793,1838,34,16
Thomas Cook Motts,Ohio River deckhand,"Muscatine, Iowa",yes,-84.746884,39.145793,-91.0698,41.42012,1840,35,15
Mahalia Sammons Motts,"Nantocoke, Delaware","Louisa County, Iowa",yes,-75.6096,38.6401,-91.255998,41.21749913,1836,36,14
Mahalia Sammons Motts,"Louisa County, Iowa","Muscatine, Iowa",yes,-91.255998,41.21749913,-91.0698,41.42012,1848,37,13
Mahalia Sammons Motts,"Muscatine, Iowa",Washington Iowa,yes,-91.0698,41.42012,-93.1535391,41.2033315,1866,38,12
John Hiner,"Baltimore, MD","Pittsburgh, PA",yes,-76.609383,39.299236,-79.995888,40.440624,1834,39,11
John Hiner,"Pittsburgh, PA","Louisville, KY",yes,-79.995888,40.440624,-85.764771,38.328732,1837,40,10
John Hiner,"Louisville, KY",Yellowstone,yes,-85.764771,38.328732,-110.5,44.6,1840,41,9
John Hiner,Yellowstone,"Keokuk, IA",yes,-110.5,44.6,-91.3899,40.40149839,1842,42,8
John Hiner,"Keokuk, IA",San Francisco,yes,-91.3899,40.40149839,-122.416389,37.7775,1852,43,7
John Hiner,San Francisco,"Keokuk, IA",yes,-122.416389,37.7775,-91.3899,40.4015,1855,44,6
John Hiner,"Keokuk, IA","Petersburg,  Virginia",yes,-91.3899,40.4015,-77.400417,37.21295,1873,45,5
John Hiner,"Petersburg,  Virginia","Keokuk, IA",yes,-77.400417,37.21295,-91.3899,40.4015,1886,46,4
Mary A. Jeffers Cowan Hiner,"Petersburg, VA","San Francisco, CA",yes,-77.401924,37.227928,-122.431297,37.773972,1853,47,3
Mary A. Jeffers Cowan Hiner,"San Francisco, CA","Keokuk, IA",yes,-122.431297,37.773972,-91.38999,40.40149,1855,48,2
Mary A. Jeffers Cowan Hiner,"Keokuk, IA","Petersburg, VA",yes,-91.38999,40.40149,-77.4019,37.22793,1873,49,1
